visit_id,date,park_name,day_type,temperature_f,visitors,ticket_revenue,staff_on_duty,region,notes
V-10050,2024-02-20,Riverside Park,Weekday,29.2,5,22.50,,Northeast,
V-10051,2024-02-21,Hilltop Commons,Weekday,31.1,5,22.50,,Northeast,
V-10052,2024-02-22,Cedar Grove,Weekday,28.2,80,360.00,1,Northeast,
V-10053,2024-02-23,Lakeview Green,Weekday,36.2,68,306.00,1,Northeast,
V-10054,2024-02-24,Old Mill Park,Weekend,28.9,189,850.50,2,Northeast,
V-10055,2024-02-25,Riverside Park,Weekend,35.4,342,1539.00,4,Northeast,
V-10056,2024-02-26,Hilltop Commons,Weekday,29.0,40,180.00,1,Northeast,
V-10057,2024-02-27,Cedar Grove,Weekday,35.8,13,58.50,,Northeast,
V-10058,2024-02-28,Lakeview Green,Weekday,32.6,5,22.50,1,Northeast,
V-10059,2024-02-29,Old Mill Park,Weekday,36.9,58,261.00,1,Northeast,
V-10060,2024-03-01,Riverside Park,Weekday,39.5,21,94.50,1,Northeast,
V-10061,2024-03-02,Hilltop Commons,Weekend,37.4,322,1449.00,,Northeast,
V-10062,2024-03-03,Cedar Grove,Weekend,35.0,293,1318.50,4,Northeast,
V-10063,2024-03-04,Lakeview Green,Weekday,32.0,15,67.50,,Northeast,
V-10064,2024-03-05,Old Mill Park,Weekday,33.7,5,22.50,,Northeast,
V-10065,2024-03-06,Riverside Park,Weekday,38.5,5,22.50,1,Northeast,
V-10066,2024-03-07,Hilltop Commons,Weekday,35.5,5,22.50,1,Northeast,
V-10067,2024-03-08,Cedar Grove,Weekday,38.0,71,319.50,1,Northeast,
V-10068,2024-03-09,Lakeview Green,Weekend,38.1,236,1062.00,2,Northeast,
V-10069,2024-03-10,Old Mill Park,Weekend,41.6,318,1431.00,5,Northeast,
V-10070,2024-03-11,Riverside Park,Weekday,41.9,52,234.00,,Northeast,
V-10071,2024-03-12,Hilltop Commons,Weekday,33.8,5,22.50,1,Northeast,
V-10072,2024-03-13,Cedar Grove,Weekday,37.9,53,238.50,1,Northeast,
V-10073,2024-03-14,Lakeview Green,Weekday,38.4,47,211.50,1,Northeast,
V-10074,2024-03-15,Old Mill Park,Weekday,40.0,40,180.00,,Northeast,
V-10075,2024-03-16,Riverside Park,Weekend,43.2,366,1647.00,4,Northeast,
V-10076,2024-03-17,Hilltop Commons,Weekend,43.5,311,1399.50,,Northeast,
V-10077,2024-03-18,Cedar Grove,Weekday,38.7,16,72.00,1,Northeast,
V-10078,2024-03-19,Lakeview Green,Weekday,43.0,68,306.00,,Northeast,
V-10079,2024-03-20,Old Mill Park,Weekday,37.0,40,180.00,1,Northeast,
V-10080,2024-03-21,Riverside Park,Weekday,39.2,27,121.50,,Northeast,
V-10081,2024-03-22,Hilltop Commons,Weekday,36.9,36,162.00,,Northeast,
V-10082,2024-03-23,Cedar Grove,Weekend,41.3,326,1467.00,4,Northeast,
V-10083,2024-03-24,Lakeview Green,Weekend,37.6,361,1624.50,4,Northeast,
V-10084,2024-03-25,Old Mill Park,Weekday,41.7,174,783.00,1,Northeast,
V-10085,2024-03-26,Riverside Park,Weekday,48.4,87,391.50,,Northeast,
V-10086,2024-03-27,Hilltop Commons,Weekday,43.0,96,432.00,,Northeast,
V-10087,2024-03-28,Cedar Grove,Weekday,46.9,77,346.50,1,Northeast,
V-10088,2024-03-29,Lakeview Green,Weekday,48.0,104,468.00,,Northeast,
V-10089,2024-03-30,Old Mill Park,Weekend,43.6,364,1638.00,,Northeast,
V-10090,2024-03-31,Riverside Park,Weekend,39.9,327,1471.50,,Northeast,
V-10091,2024-04-01,Hilltop Commons,Weekday,42.6,129,580.50,,Northeast,
V-10092,2024-04-02,Cedar Grove,Weekday,47.5,60,270.00,1,Northeast,
V-10093,2024-04-03,Lakeview Green,Weekday,49.9,121,544.50,,Northeast,
V-10094,2024-04-04,Old Mill Park,Weekday,46.8,140,630.00,1,Northeast,
V-10095,2024-04-05,Riverside Park,Weekday,51.4,158,711.00,,Northeast,
V-10096,2024-04-06,Hilltop Commons,Weekend,47.7,384,1728.00,4,Northeast,
V-10097,2024-04-07,Cedar Grove,Weekend,46.7,344,1548.00,4,Northeast,
V-10098,2024-04-08,Lakeview Green,Weekday,56.5,176,792.00,2,Northeast,
V-10099,2024-04-09,Old Mill Park,Weekday,52.8,197,886.50,2,Northeast,
V-10100,2024-04-10,Riverside Park,Weekday,51.3,171,769.50,,Northeast,
V-10101,2024-04-11,Hilltop Commons,Weekday,52.0,170,765.00,3,Northeast,
V-10102,2024-04-12,Cedar Grove,Weekday,51.1,133,598.50,,Northeast,
V-10103,2024-04-13,Lakeview Green,Weekend,53.3,380,1710.00,4,Northeast,
V-10104,2024-04-14,Old Mill Park,Weekend,46.1,412,1854.00,,Northeast,
V-10105,2024-04-15,Riverside Park,Weekday,57.6,173,778.50,3,Northeast,
V-10106,2024-04-16,Hilltop Commons,Weekday,57.3,221,994.50,3,Northeast,
V-10107,2024-04-17,Cedar Grove,Weekday,52.1,137,616.50,,Northeast,
V-10108,2024-04-18,Lakeview Green,Weekday,54.1,187,841.50,,Northeast,
V-10109,2024-04-19,Old Mill Park,Weekday,61.8,237,1066.50,,Northeast,
V-10110,2024-04-20,Riverside Park,Weekend,62.6,494,2223.00,6,Northeast,
V-10111,2024-04-21,Hilltop Commons,Weekend,61.0,405,1822.50,5,Northeast,
V-10112,2024-04-22,Cedar Grove,Weekday,60.9,191,859.50,2,Northeast,
V-10113,2024-04-23,Lakeview Green,Weekday,58.9,260,1170.00,3,Northeast,
V-10114,2024-04-24,Old Mill Park,Weekday,64.2,253,1138.50,,Northeast,
V-10115,2024-04-25,Riverside Park,Weekday,61.1,202,909.00,2,Northeast,
V-10116,2024-04-26,Hilltop Commons,Weekday,55.0,92,414.00,,Northeast,
V-10117,2024-04-27,Cedar Grove,Weekend,56.5,515,2317.50,5,Northeast,
V-10118,2024-04-28,Lakeview Green,Weekend,59.2,456,2052.00,5,Northeast,
V-10119,2024-04-29,Old Mill Park,Weekday,63.4,206,927.00,3,Northeast,
V-10120,2024-04-30,Riverside Park,Weekday,69.2,252,1134.00,,Northeast,
V-10121,2024-05-01,Hilltop Commons,Weekday,58.8,229,1030.50,,Northeast,
V-10122,2024-05-02,Cedar Grove,Weekday,62.6,263,1183.50,,Northeast,
V-10123,2024-05-03,Lakeview Green,Weekday,69.7,260,1170.00,,Northeast,
V-10124,2024-05-04,Old Mill Park,Weekend,60.7,485,2182.50,6,Northeast,
V-10125,2024-05-05,Riverside Park,Weekend,68.5,516,2322.00,6,Northeast,
V-10126,2024-05-06,Hilltop Commons,Weekday,66.1,242,1089.00,,Northeast,
V-10127,2024-05-07,Cedar Grove,Weekday,62.1,195,877.50,,Northeast,
V-10128,2024-05-08,Lakeview Green,Weekday,65.2,219,985.50,,Northeast,
V-10129,2024-05-09,Old Mill Park,Weekday,60.0,139,625.50,1,Northeast,
V-10130,2024-05-10,Riverside Park,Weekday,64.5,184,828.00,1,Northeast,
V-10131,2024-05-11,Hilltop Commons,Weekend,64.9,520,2340.00,6,Northeast,
V-10132,2024-05-12,Cedar Grove,Weekend,66.6,515,2317.50,4,Northeast,
V-10133,2024-05-13,Lakeview Green,Weekday,63.0,268,1206.00,4,Northeast,
V-10134,2024-05-14,Old Mill Park,Weekday,64.5,209,940.50,4,Northeast,
V-10135,2024-05-15,Riverside Park,Weekday,69.2,290,1305.00,2,Northeast,
V-10136,2024-05-16,Hilltop Commons,Weekday,65.9,210,945.00,,Northeast,
V-10137,2024-05-17,Cedar Grove,Weekday,70.6,310,1395.00,4,Northeast,
V-10138,2024-05-18,Lakeview Green,Weekend,67.2,538,2421.00,7,Northeast,
V-10139,2024-05-19,Old Mill Park,Weekend,69.6,550,2475.00,6,Northeast,
V-10140,2024-05-20,Riverside Park,Weekday,70.7,238,1071.00,,Northeast,
V-10141,2024-05-21,Hilltop Commons,Weekday,74.1,357,1606.50,4,Northeast,
V-10142,2024-05-22,Cedar Grove,Weekday,78.5,341,1534.50,4,Northeast,
V-10143,2024-05-23,Lakeview Green,Weekday,74.3,294,1323.00,3,Northeast,
V-10144,2024-05-24,Old Mill Park,Weekday,80.0,354,1593.00,4,Northeast,
V-10145,2024-05-25,Riverside Park,Weekend,75.7,565,2542.50,6,Northeast,
V-10146,2024-05-26,Hilltop Commons,Weekend,74.3,562,2529.00,5,Northeast,
V-10147,2024-05-27,Cedar Grove,Weekday,69.8,294,1323.00,4,Northeast,
V-10148,2024-05-28,Lakeview Green,Weekday,73.7,356,1602.00,3,Northeast,
V-10149,2024-05-29,Old Mill Park,Weekday,68.9,293,1318.50,,Northeast,
V-10150,2024-05-30,Riverside Park,Weekday,72.9,308,1386.00,,Northeast,
V-10151,2024-05-31,Hilltop Commons,Weekday,71.2,311,1399.50,,Northeast,
V-10152,2024-06-01,Cedar Grove,Weekend,74.4,554,2493.00,6,Northeast,
V-10153,2024-06-02,Lakeview Green,Weekend,73.5,530,2385.00,,Northeast,
V-10154,2024-06-03,Old Mill Park,Weekday,75.5,300,1350.00,,Northeast,
V-10155,2024-06-04,Riverside Park,Weekday,73.3,254,1143.00,2,Northeast,
V-10156,2024-06-05,Hilltop Commons,Weekday,71.8,295,1327.50,,Northeast,
V-10157,2024-06-06,Cedar Grove,Weekday,73.5,264,1188.00,3,Northeast,
V-10158,2024-06-07,Lakeview Green,Weekday,81.4,358,1611.00,,Northeast,
V-10159,2024-06-08,Old Mill Park,Weekend,76.2,562,2529.00,6,Northeast,
V-10160,2024-06-09,Riverside Park,Weekend,78.3,569,2560.50,6,Northeast,
V-10161,2024-06-10,Hilltop Commons,Weekday,79.2,353,1588.50,2,Northeast,
V-10162,2024-06-11,Cedar Grove,Weekday,72.3,300,1350.00,,Northeast,
V-10163,2024-06-12,Lakeview Green,Weekday,78.9,369,1660.50,4,Northeast,
V-10164,2024-06-13,Old Mill Park,Weekday,74.1,251,1129.50,3,Northeast,
V-10165,2024-06-14,Riverside Park,Weekday,78.7,356,1602.00,5,Northeast,
V-10166,2024-06-15,Hilltop Commons,Weekend,79.3,589,2650.50,,Northeast,
V-10167,2024-06-16,Cedar Grove,Weekend,74.8,566,2547.00,4,Northeast,
V-10168,2024-06-17,Lakeview Green,Weekday,80.1,378,1701.00,3,Northeast,
V-10169,2024-06-18,Old Mill Park,Weekday,80.0,393,1768.50,4,Northeast,
V-10170,2024-06-19,Riverside Park,Weekday,84.3,343,1543.50,4,Northeast,
V-10171,2024-06-20,Hilltop Commons,Weekday,72.7,318,1431.00,2,Northeast,
V-10172,2024-06-21,Cedar Grove,Weekday,84.1,413,1858.50,,Northeast,
V-10173,2024-06-22,Lakeview Green,Weekend,84.9,636,2862.00,7,Northeast,
V-10174,2024-06-23,Old Mill Park,Weekend,80.0,536,2412.00,,Northeast,
V-10175,2024-06-24,Riverside Park,Weekday,80.6,380,1710.00,,Northeast,
V-10176,2024-06-25,Hilltop Commons,Weekday,81.9,327,1471.50,,Northeast,
V-10177,2024-06-26,Cedar Grove,Weekday,81.4,317,1426.50,4,Northeast,
V-10178,2024-06-27,Lakeview Green,Weekday,73.6,321,1444.50,,Northeast,
V-10179,2024-06-28,Old Mill Park,Weekday,90.5,339,1525.50,,Northeast,
V-10180,2024-06-29,Riverside Park,Weekend,78.3,589,2650.50,6,Northeast,
V-10181,2024-06-30,Hilltop Commons,Weekend,80.3,650,2925.00,7,Northeast,
V-10182,2024-07-01,Cedar Grove,Weekday,79.1,341,1534.50,4,Northeast,
V-10183,2024-07-02,Lakeview Green,Weekday,78.6,409,1840.50,4,Northeast,
V-10184,2024-07-03,Old Mill Park,Weekday,83.1,389,1750.50,,Northeast,
V-10185,2024-07-04,Riverside Park,Weekday,84.2,428,1926.00,5,Northeast,
V-10186,2024-07-05,Hilltop Commons,Weekday,83.5,364,1638.00,,Northeast,
V-10187,2024-07-06,Cedar Grove,Weekend,81.8,616,2772.00,8,Northeast,
V-10188,2024-07-07,Lakeview Green,Weekend,82.7,664,2988.00,7,Northeast,
V-10189,2024-07-08,Old Mill Park,Weekday,75.3,293,1318.50,,Northeast,
V-10190,2024-07-09,Riverside Park,Weekday,80.8,397,1786.50,5,Northeast,
V-10191,2024-07-10,Hilltop Commons,Weekday,80.7,359,1615.50,4,Northeast,
V-10192,2024-07-11,Cedar Grove,Weekday,79.2,401,1804.50,5,Northeast,
V-10193,2024-07-12,Lakeview Green,Weekday,86.1,416,1872.00,,Northeast,
V-10194,2024-07-13,Old Mill Park,Weekend,80.6,664,2988.00,7,Northeast,
V-10195,2024-07-14,Riverside Park,Weekend,83.3,644,2898.00,8,Northeast,
V-10196,2024-07-15,Hilltop Commons,Weekday,84.4,422,1899.00,4,Northeast,
V-10197,2024-07-16,Cedar Grove,Weekday,87.7,528,2376.00,7,Northeast,
V-10198,2024-07-17,Lakeview Green,Weekday,81.9,329,1480.50,,Northeast,
V-10199,2024-07-18,Old Mill Park,Weekday,82.4,374,1683.00,4,Northeast,
V-10200,2024-07-19,Riverside Park,Weekday,83.3,412,1854.00,,Northeast,
V-10201,2024-07-20,Hilltop Commons,Weekend,80.4,653,2938.50,9,Northeast,
V-10202,2024-07-21,Cedar Grove,Weekend,80.3,662,2979.00,8,Northeast,
V-10203,2024-07-22,Lakeview Green,Weekday,80.9,355,1597.50,3,Northeast,
V-10204,2024-07-23,Old Mill Park,Weekday,84.3,361,1624.50,5,Northeast,
V-10205,2024-07-24,Riverside Park,Weekday,79.6,335,1507.50,3,Northeast,
V-10206,2024-07-25,Hilltop Commons,Weekday,82.0,345,1552.50,2,Northeast,
V-10207,2024-07-26,Cedar Grove,Weekday,82.4,338,1521.00,4,Northeast,
V-10208,2024-07-27,Lakeview Green,Weekend,88.2,692,3114.00,,Northeast,
V-10209,2024-07-28,Old Mill Park,Weekend,80.9,621,2794.50,6,Northeast,
V-10210,2024-07-29,Riverside Park,Weekday,78.9,321,1444.50,3,Northeast,
V-10211,2024-07-30,Hilltop Commons,Weekday,87.1,367,1651.50,5,Northeast,
V-10212,2024-07-31,Cedar Grove,Weekday,80.9,448,2016.00,6,Northeast,
V-10213,2024-08-01,Lakeview Green,Weekday,81.0,365,1642.50,6,Northeast,
V-10214,2024-08-02,Old Mill Park,Weekday,79.9,452,2034.00,5,Northeast,
V-10215,2024-08-03,Riverside Park,Weekend,79.0,615,2767.50,8,Northeast,
V-10216,2024-08-04,Hilltop Commons,Weekend,78.0,556,2502.00,6,Northeast,
V-10217,2024-08-05,Cedar Grove,Weekday,88.1,368,1656.00,,Northeast,
V-10218,2024-08-06,Lakeview Green,Weekday,83.9,377,1696.50,,Northeast,
V-10219,2024-08-07,Old Mill Park,Weekday,80.4,438,1971.00,5,Northeast,
V-10220,2024-08-08,Riverside Park,Weekday,81.7,453,2038.50,6,Northeast,
V-10221,2024-08-09,Hilltop Commons,Weekday,84.5,434,1953.00,4,Northeast,
V-10222,2024-08-10,Cedar Grove,Weekend,80.0,692,3114.00,8,Northeast,
V-10223,2024-08-11,Lakeview Green,Weekend,86.7,690,3105.00,,Northeast,
V-10224,2024-08-12,Old Mill Park,Weekday,82.1,375,1687.50,3,Northeast,
V-10225,2024-08-13,Riverside Park,Weekday,83.6,427,1921.50,,Northeast,
V-10226,2024-08-14,Hilltop Commons,Weekday,80.4,326,1467.00,4,Northeast,
V-10227,2024-08-15,Cedar Grove,Weekday,73.9,303,1363.50,4,Northeast,
V-10228,2024-08-16,Lakeview Green,Weekday,73.8,360,1620.00,4,Northeast,
V-10229,2024-08-17,Old Mill Park,Weekend,74.5,511,2299.50,5,Northeast,
V-10230,2024-08-18,Riverside Park,Weekend,73.7,582,2619.00,,Northeast,
V-10231,2024-08-19,Hilltop Commons,Weekday,77.1,367,1651.50,4,Northeast,
V-10232,2024-08-20,Cedar Grove,Weekday,78.6,405,1822.50,3,Northeast,
V-10233,2024-08-21,Lakeview Green,Weekday,85.9,427,1921.50,4,Northeast,
V-10234,2024-08-22,Old Mill Park,Weekday,78.9,394,1773.00,4,Northeast,
V-10235,2024-08-23,Riverside Park,Weekday,78.7,466,2097.00,5,Northeast,
V-10236,2024-08-24,Hilltop Commons,Weekend,78.2,650,2925.00,7,Northeast,
V-10237,2024-08-25,Cedar Grove,Weekend,75.0,537,2416.50,,Northeast,
V-10238,2024-08-26,Lakeview Green,Weekday,77.6,300,1350.00,,Northeast,
V-10239,2024-08-27,Old Mill Park,Weekday,70.7,333,1498.50,4,Northeast,
V-10240,2024-08-28,Riverside Park,Weekday,76.2,426,1917.00,3,Northeast,
V-10241,2024-08-29,Hilltop Commons,Weekday,82.3,435,1957.50,,Northeast,
V-10242,2024-08-30,Cedar Grove,Weekday,71.3,352,1584.00,4,Northeast,
V-10243,2024-08-31,Lakeview Green,Weekend,78.8,645,2902.50,6,Northeast,
V-10244,2024-09-01,Old Mill Park,Weekend,68.7,615,2767.50,6,Northeast,
V-10245,2024-09-02,Riverside Park,Weekday,74.1,316,1422.00,3,Northeast,
V-10246,2024-09-03,Hilltop Commons,Weekday,75.6,401,1804.50,,Northeast,
V-10247,2024-09-04,Cedar Grove,Weekday,73.1,362,1629.00,4,Northeast,
V-10248,2024-09-05,Lakeview Green,Weekday,77.1,379,1705.50,4,Northeast,
V-10249,2024-09-06,Old Mill Park,Weekday,78.4,323,1453.50,,Northeast,
V-10250,2024-09-07,Riverside Park,Weekend,72.6,524,2358.00,7,Northeast,
V-10251,2024-09-08,Hilltop Commons,Weekend,72.9,647,2911.50,,Northeast,
V-10252,2024-09-09,Cedar Grove,Weekday,68.3,355,1597.50,5,Northeast,
V-10253,2024-09-10,Lakeview Green,Weekday,77.1,343,1543.50,,Northeast,
V-10254,2024-09-11,Old Mill Park,Weekday,68.6,364,1638.00,,Northeast,
V-10255,2024-09-12,Riverside Park,Weekday,71.7,309,1390.50,,Northeast,
V-10256,2024-09-13,Hilltop Commons,Weekday,69.2,346,1557.00,,Northeast,
V-10257,2024-09-14,Cedar Grove,Weekend,71.8,670,3015.00,8,Northeast,
V-10258,2024-09-15,Lakeview Green,Weekend,72.1,639,2875.50,,Northeast,
V-10259,2024-09-16,Old Mill Park,Weekday,66.2,317,1426.50,4,Northeast,
V-10260,2024-09-17,Riverside Park,Weekday,65.2,292,1314.00,2,Northeast,
V-10261,2024-09-18,Hilltop Commons,Weekday,62.9,308,1386.00,,Northeast,
V-10262,2024-09-19,Cedar Grove,Weekday,65.7,349,1570.50,4,Northeast,
V-10263,2024-09-20,Lakeview Green,Weekday,70.0,293,1318.50,,Northeast,
V-10264,2024-09-21,Old Mill Park,Weekend,67.4,583,2623.50,6,Northeast,
V-10265,2024-09-22,Riverside Park,Weekend,71.0,626,2817.00,7,Northeast,
V-10266,2024-09-23,Hilltop Commons,Weekday,70.2,329,1480.50,3,Northeast,
V-10267,2024-09-24,Cedar Grove,Weekday,66.2,331,1489.50,4,Northeast,
V-10268,2024-09-25,Lakeview Green,Weekday,63.9,275,1237.50,,Northeast,
V-10269,2024-09-26,Old Mill Park,Weekday,64.2,362,1629.00,5,Northeast,
V-10270,2024-09-27,Riverside Park,Weekday,57.1,257,1156.50,2,Northeast,
V-10271,2024-09-28,Hilltop Commons,Weekend,64.3,543,2443.50,7,Northeast,
V-10272,2024-09-29,Cedar Grove,Weekend,64.7,551,2479.50,6,Northeast,
V-10273,2024-09-30,Lakeview Green,Weekday,57.0,246,1107.00,3,Northeast,
V-10274,2024-10-01,Old Mill Park,Weekday,61.9,322,1449.00,3,Northeast,
V-10275,2024-10-02,Riverside Park,Weekday,62.3,292,1314.00,,Northeast,
V-10276,2024-10-03,Hilltop Commons,Weekday,65.2,327,1471.50,,Northeast,
V-10277,2024-10-04,Cedar Grove,Weekday,60.3,333,1498.50,3,Northeast,
V-10278,2024-10-05,Lakeview Green,Weekend,64.8,546,2457.00,5,Northeast,
V-10279,2024-10-06,Old Mill Park,Weekend,59.0,535,2407.50,,Northeast,
V-10280,2024-10-07,Riverside Park,Weekday,59.7,271,1219.50,,Northeast,
V-10281,2024-10-08,Hilltop Commons,Weekday,60.7,253,1138.50,,Northeast,
V-10282,2024-10-09,Cedar Grove,Weekday,51.4,202,909.00,3,Northeast,
V-10283,2024-10-10,Lakeview Green,Weekday,54.1,282,1269.00,2,Northeast,
V-10284,2024-10-11,Old Mill Park,Weekday,57.3,273,1228.50,,Northeast,
V-10285,2024-10-12,Riverside Park,Weekend,54.7,521,2344.50,6,Northeast,
V-10286,2024-10-13,Hilltop Commons,Weekend,57.1,484,2178.00,5,Northeast,
V-10287,2024-10-14,Cedar Grove,Weekday,51.7,259,1165.50,,Northeast,
V-10288,2024-10-15,Lakeview Green,Weekday,59.2,311,1399.50,5,Northeast,
V-10289,2024-10-16,Old Mill Park,Weekday,57.2,273,1228.50,,Northeast,
V-10290,2024-10-17,Riverside Park,Weekday,52.3,193,868.50,,Northeast,
V-10291,2024-10-18,Hilltop Commons,Weekday,60.2,299,1345.50,,Northeast,
V-10292,2024-10-19,Cedar Grove,Weekend,53.1,536,2412.00,5,Northeast,
V-10293,2024-10-20,Lakeview Green,Weekend,50.7,428,1926.00,4,Northeast,
V-10294,2024-10-21,Old Mill Park,Weekday,56.4,227,1021.50,2,Northeast,
V-10295,2024-10-22,Riverside Park,Weekday,50.4,212,954.00,,Northeast,
V-10296,2024-10-23,Hilltop Commons,Weekday,50.4,192,864.00,2,Northeast,
V-10297,2024-10-24,Cedar Grove,Weekday,44.2,182,819.00,3,Northeast,
V-10298,2024-10-25,Lakeview Green,Weekday,46.4,182,819.00,2,Northeast,
V-10299,2024-10-26,Old Mill Park,Weekend,48.4,498,2241.00,6,Northeast,
V-10300,2024-10-27,Riverside Park,Weekend,45.4,343,1543.50,4,Northeast,
V-10301,2024-10-28,Hilltop Commons,Weekday,51.3,259,1165.50,2,Northeast,
V-10302,2024-10-29,Cedar Grove,Weekday,56.7,217,976.50,2,Northeast,
V-10303,2024-10-30,Lakeview Green,Weekday,50.8,226,1017.00,3,Northeast,
V-10304,2024-10-31,Old Mill Park,Weekday,49.3,196,882.00,2,Northeast,
V-10305,2024-11-01,Riverside Park,Weekday,51.9,249,1120.50,,Northeast,
V-10306,2024-11-02,Hilltop Commons,Weekend,50.6,492,2214.00,6,Northeast,
V-10307,2024-11-03,Cedar Grove,Weekend,46.4,480,2160.00,,Northeast,
V-10308,2024-11-04,Lakeview Green,Weekday,47.8,227,1021.50,,Northeast,
V-10309,2024-11-05,Old Mill Park,Weekday,40.0,172,774.00,1,Northeast,
V-10310,2024-11-06,Riverside Park,Weekday,46.8,192,864.00,2,Northeast,
V-10311,2024-11-07,Hilltop Commons,Weekday,43.5,163,733.50,,Northeast,
V-10312,2024-11-08,Cedar Grove,Weekday,36.8,212,954.00,,Northeast,
V-10313,2024-11-09,Lakeview Green,Weekend,40.3,385,1732.50,,Northeast,
V-10314,2024-11-10,Old Mill Park,Weekend,44.9,491,2209.50,6,Northeast,
V-10315,2024-11-11,Riverside Park,Weekday,41.9,145,652.50,2,Northeast,
V-10316,2024-11-12,Hilltop Commons,Weekday,41.9,187,841.50,,Northeast,
V-10317,2024-11-13,Cedar Grove,Weekday,42.2,205,922.50,,Northeast,
V-10318,2024-11-14,Lakeview Green,Weekday,43.3,178,801.00,,Northeast,
V-10319,2024-11-15,Old Mill Park,Weekday,43.8,158,711.00,2,Northeast,
V-10320,2024-11-16,Riverside Park,Weekend,38.6,464,2088.00,6,Northeast,
